Method,GED mean,Jaccard mean,Drift@0.2,QA EM,QA R@1,Unsupported (note),Conflict rec.
Baseline 1 (stateless NER+RE),1.198989898989899,0.2918518518518518,0.7212121212121212,0.04081632653061224,0.04081632653061224,,
Baseline 2 (+ ontology IDs),0.9272727272727274,0.4128535353535353,0.6111111111111112,0.04081632653061224,0.04081632653061224,,
Baseline 3 (Qwen),2.021296296296296,0.31380281819517936,0.6907407407407407,0.42857142857142855,0.42857142857142855,,
Evidence-bound state engine (aligned + incremental),0.16133333333333333,0.8734814814814815,0.12666666666666665,0.6530612244897959,0.6836734693877551,0.9079999999999999,174
